mzbin,feature,cluster,scan
837.5999666665,156,33,2
837.5999666665,157,33,2
837.5999666665,158,33,2
837.5999666665,159,33,2
869.6258333335,160,34,2
869.6258333335,161,34,2
869.6258333335,162,34,2
888.11655,163,35,2
888.3685166665,163,35,2
888.8695,163,35,2
889.86655,163,35,2
888.11655,164,35,2
888.8695,164,35,2
889.86655,164,35,2
888.11655,165,35,2
888.8695,165,35,2
889.86655,165,35,2
888.3685166665,166,35,2
888.8695,166,35,2
889.86655,166,35,2
890.32975,166,35,2
355.06955,1,1,3
356.06955,1,1,3
357.06865,1,1,3
358.06865,1,1,3
356.06955,2,1,3
357.06865,2,1,3
358.06865,2,1,3
359.0615,2,1,3
357.06865,3,1,3
358.06865,3,1,3
359.0615,3,1,3
360.0615,3,1,3
358.06865,4,1,3
359.0615,4,1,3
360.0615,4,1,3
361.0615,4,1,3
359.0615,5,1,3
360.0615,5,1,3
361.0615,5,1,3
362.06085,5,1,3
360.0615,6,1,3
361.0615,6,1,3
362.06085,6,1,3
363.0998,6,1,3
361.0615,7,1,3
362.06085,7,1,3
363.0998,7,1,3
362.06085,8,1,3
363.0998,8,1,3
362.1756,9,1,3
363.0998,9,1,3
367.13655,10,2,3
368.1133,10,2,3
369.1133,10,2,3
370.1133,10,2,3
368.1133,11,2,3
369.1133,11,2,3
370.1133,11,2,3
371.9717833335,11,2,3
369.1133,12,2,3
370.1133,12,2,3
371.9717833335,12,2,3
370.1133,13,2,3
371.9717833335,13,2,3
373.13845,13,2,3
371.9717833335,14,2,3
371.9717833335,15,2,3
373.13845,15,2,3
373.34435,15,2,3
371.9717833335,16,2,3
373.13845,16,2,3
374.13845,16,2,3
371.9717833335,17,2,3
373.13845,17,2,3
374.13845,17,2,3
375.1079,17,2,3
371.9717833335,18,2,3
373.34435,18,2,3
371.9717833335,19,2,3
373.34435,19,2,3
373.13845,20,2,3
373.34435,20,2,3
374.13845,20,2,3
373.13845,21,2,3
374.13845,21,2,3
375.1079,21,2,3
376.09935,21,2,3
374.13845,22,2,3
375.1079,22,2,3
376.09935,22,2,3
375.1079,23,2,3
376.09935,23,2,3
379.08335,24,3,3
380.10355,24,3,3
381.102,24,3,3
382.10015,24,3,3
380.10355,25,3,3
381.102,25,3,3
382.10015,25,3,3
383.10935,25,3,3
381.102,26,3,3
382.10015,26,3,3
383.10935,26,3,3
384.13795,26,3,3
382.10015,27,3,3
383.10935,27,3,3
384.13795,27,3,3
385.13795,27,3,3
383.10935,28,3,3
384.13795,28,3,3
385.13795,28,3,3
386.1401,28,3,3
383.86345,29,3,3
384.13795,29,3,3
385.13795,29,3,3
384.13795,30,3,3
385.13795,30,3,3
386.1401,30,3,3
385.13795,31,3,3
386.1401,31,3,3
388.19,31,3,3
388.19,32,3,3
389.19265,32,3,3
391.22165,32,3,3
391.22165,33,4,3
392.22165,33,4,3
393.2082,33,4,3
394.21125,33,4,3
392.22165,34,4,3
393.2082,34,4,3
394.21125,34,4,3
393.2082,35,4,3
394.21125,35,4,3
393.2082,36,4,3
394.21125,36,4,3
395.10395,36,4,3
396.1018,36,4,3
393.2082,37,4,3
394.21125,37,4,3
394.21125,38,4,3
395.10395,38,4,3
394.21125,39,4,3
395.10395,39,4,3
396.1018,39,4,3
397.1018,39,4,3
395.10395,40,4,3
396.1018,40,4,3
397.1018,40,4,3
396.1018,41,4,3
397.1018,41,4,3
399.3475,42,5,3
400.3475,42,5,3
401.3475,42,5,3
400.3475,43,5,3
401.3475,43,5,3
402.2056,44,6,3
403.217,44,6,3
404.1726,44,6,3
405.1726,44,6,3
404.1726,45,6,3
405.1726,45,6,3
408.0545,46,7,3
409.08445,46,7,3
410.08445,46,7,3
409.08445,47,7,3
410.08445,47,7,3
413.26625,48,8,3
414.26625,48,8,3
416.25395,48,8,3
415.03555,49,9,3
416.03585,49,9,3
417.03585,49,9,3
416.03585,50,9,3
417.03585,50,9,3
419.31515,51,10,3
420.31515,51,10,3
421.32155,51,10,3
422.32155,51,10,3
420.31515,52,10,3
421.32155,52,10,3
422.32155,52,10,3
421.32155,53,10,3
421.8277,53,10,3
422.32155,53,10,3
421.32155,54,10,3
422.32155,54,10,3
421.8277,55,10,3
422.32155,55,10,3
424.0806,56,11,3
425.0806,56,11,3
427.1031,56,11,3
428.90375,57,12,3
429.117,57,12,3
430.14435,57,12,3
429.117,58,12,3
430.14435,58,12,3
431.1126,58,12,3
432.1126,58,12,3
430.14435,59,12,3
431.1126,59,12,3
432.1126,59,12,3
433.1501166665,59,12,3
430.89695,60,12,3
431.1126,60,12,3
431.89695,60,12,3
432.1126,60,12,3
430.89695,61,12,3
431.89695,61,12,3
432.89675,61,12,3
431.1126,62,12,3
432.1126,62,12,3
433.1501166665,62,12,3
431.89695,63,12,3
432.1126,63,12,3
432.89675,63,12,3
433.1501166665,63,12,3
431.89695,64,12,3
432.89675,64,12,3
434.8871,64,12,3
432.1126,65,12,3
433.1501166665,65,12,3
432.89675,66,12,3
433.1501166665,66,12,3
432.89675,67,12,3
433.1501166665,67,12,3
439.84125,68,13,3
440.84125,68,13,3
440.7241,69,13,3
441.2599666665,69,13,3
440.84125,70,13,3
441.2599666665,70,13,3
440.84125,71,13,3
441.2599666665,71,13,3
445.14085,72,14,3
446.14085,72,14,3
447.14085,72,14,3
448.14085,72,14,3
445.93355,73,14,3
446.14085,73,14,3
447.14085,73,14,3
447.3904,73,14,3
446.14085,74,14,3
447.14085,74,14,3
448.14085,74,14,3
449.12065,74,14,3
447.14085,75,14,3
447.3904,75,14,3
448.14085,75,14,3
448.3633,75,14,3
447.14085,76,14,3
448.14085,76,14,3
449.12065,76,14,3
450.11645,76,14,3
447.3904,77,14,3
448.3633,77,14,3
448.14085,78,14,3
448.3633,78,14,3
449.12065,78,14,3
448.14085,79,14,3
449.12065,79,14,3
450.11645,79,14,3
449.12065,80,14,3
450.11645,80,14,3
455.1909,81,15,3
456.1909,81,15,3
457.1909,81,15,3
456.1909,82,15,3
457.1909,82,15,3
459.1812,82,15,3
459.1812,83,15,3
460.1717,83,15,3
462.14715,83,15,3
462.14715,84,16,3
463.147,84,16,3
464.147,84,16,3
465.147,84,16,3
463.147,85,16,3
464.147,85,16,3
465.147,85,16,3
466.14335,85,16,3
464.147,86,16,3
465.147,86,16,3
466.14335,86,16,3
467.1261,86,16,3
465.147,87,16,3
466.14335,87,16,3
467.1261,87,16,3
468.1285666665,87,16,3
466.14335,88,16,3
467.1261,88,16,3
468.1285666665,88,16,3
470.0696,88,16,3
467.1261,89,16,3
468.1285666665,89,16,3
470.0696,89,16,3
467.8369,90,16,3
468.1285666665,90,16,3
468.5090166665,90,16,3
468.7612,90,16,3
470.0696,90,16,3
467.8369,91,16,3
468.1285666665,91,16,3
468.5090166665,91,16,3
468.7612,91,16,3
470.0696,91,16,3
468.1285666665,92,16,3
468.5090166665,92,16,3
468.7612,92,16,3
470.0696,92,16,3
468.1285666665,93,16,3
470.0696,93,16,3
468.5090166665,94,16,3
468.7612,94,16,3
470.0696,94,16,3
468.5090166665,95,16,3
470.0696,95,16,3
468.5090166665,96,16,3
470.0696,96,16,3
468.7612,97,16,3
470.0696,97,16,3
